timestamps,TP9,AF7,AF8,TP10
1714655705.873,-22.949,-35.645,-33.691,-22.949
1714655705.877,-13.184,-32.715,-30.273,-15.625
1714655705.881,-8.789,-23.926,-32.715,-15.137
1714655705.885,-14.160,-22.461,-27.832,-25.879
1714655705.889,-25.391,-30.273,-28.320,-31.738
1714655705.891,-34.668,-30.762,-31.250,-30.273
1714655705.895,-32.227,-24.902,-28.809,-29.785
1714655705.899,-32.227,-28.809,-35.156,-34.668
1714655705.903,-36.621,-31.250,-37.109,-37.598
1714655705.907,-33.203,-29.297,-31.738,-30.273
1714655705.911,-38.574,-27.344,-27.832,-32.715
1714655705.915,-44.434,-29.297,-30.273,-40.527
1714655705.918,-41.504,-33.691,-30.273,-34.668
1714655705.922,-40.527,-33.203,-26.855,-26.855
1714655705.926,-47.363,-35.156,-31.738,-33.203
1714655705.930,-49.316,-37.598,-35.645,-39.551
1714655705.934,-38.574,-34.668,-32.715,-38.574
1714655705.936,-34.668,-31.738,-28.809,-36.621
1714655705.940,-32.227,-29.785,-30.762,-40.527
1714655705.944,-39.062,-32.227,-32.227,-46.875
1714655705.948,-43.457,-33.203,-29.297,-45.410
1714655705.952,-34.180,-36.133,-28.809,-41.016
1714655705.956,-31.738,-34.180,-32.227,-38.086
1714655705.960,-37.598,-27.832,-40.527,-38.574
1714655705.963,-38.086,-37.598,-42.480,-37.598
1714655705.967,-26.855,-40.039,-37.598,-34.668
1714655705.971,-26.855,-33.691,-40.039,-37.109
1714655705.975,-33.203,-35.645,-43.457,-45.898
1714655705.979,-34.180,-35.156,-39.551,-46.387
1714655705.981,-36.621,-35.156,-35.645,-45.898
1714655705.985,-41.504,-36.621,-39.062,-51.270
1714655705.989,-43.945,-41.992,-43.457,-53.223
1714655705.993,-36.621,-39.551,-41.992,-44.434
1714655705.997,-29.785,-37.598,-40.527,-39.551
1714655706.001,-33.203,-36.133,-44.434,-46.387
1714655706.005,-40.527,-39.551,-48.340,-51.270
1714655706.008,-29.297,-38.574,-44.922,-44.922
1714655706.012,-19.531,-31.250,-37.598,-40.039
1714655706.016,-22.949,-30.273,-33.691,-38.574
1714655706.020,-24.414,-31.250,-34.180,-33.691
1714655706.024,-24.902,-32.227,-34.668,-33.203
1714655706.026,-20.020,-33.203,-33.691,-37.109
1714655706.030,-24.902,-28.809,-33.203,-37.109
1714655706.034,-28.809,-25.879,-37.598,-29.297
1714655706.038,-24.902,-26.367,-39.062,-24.902
1714655706.042,-22.461,-32.227,-37.109,-29.297
1714655706.046,-19.531,-27.344,-35.156,-34.180
1714655706.050,-21.484,-29.785,-33.691,-34.668
1714655706.053,-19.531,-33.691,-29.785,-29.785
1714655706.057,-23.926,-31.738,-27.344,-26.367
1714655706.061,-33.203,-34.180,-27.832,-26.367
1714655706.065,-34.180,-33.203,-25.879,-29.785
1714655706.069,-37.598,-33.691,-27.344,-33.203
1714655706.071,-42.480,-34.180,-26.855,-38.574
1714655706.075,-43.945,-28.320,-26.855,-43.457
1714655706.079,-41.992,-29.785,-31.250,-45.410
1714655706.083,-36.133,-30.762,-26.855,-42.480
1714655706.087,-37.598,-27.344,-27.344,-41.016
1714655706.091,-43.945,-30.273,-32.715,-45.898
1714655706.095,-42.969,-39.062,-37.109,-44.922
1714655706.098,-40.039,-41.504,-37.109,-42.969
1714655706.102,-41.016,-42.480,-33.691,-47.852
1714655706.106,-38.574,-40.039,-35.156,-51.758
