timestamps,TP9,AF7,AF8,TP10,Right AUX
1714918421.479,-37.598,-46.875,-47.852,-15.137,-36
1714918421.483,-28.32,-58.594,-51.27,-14.16,-44
1714918421.487,-29.297,-46.875,-43.945,-10.742,-6
1714918421.491,-27.344,-34.18,-33.691,3.418,93
1714918421.495,-30.762,-35.645,-35.156,-7.324,-61
1714918421.499,-48.828,-48.34,-50.293,-23.438,4
1714918421.502,-2.93,-21.973,-25.391,15.137,-17
1714918421.506,46.387,24.902,11.719,54.688,-30
1714918421.51,-18.555,-13.184,-34.18,2.441,-69
1714918421.514,-47.363,-37.109,-52.734,-24.414,-60
1714918421.518,-31.738,-31.738,-37.598,-12.207,-79
1714918421.519,-16.113,-35.645,-46.387,-20.996,18
1714918421.523,-11.719,-37.109,-45.898,9.766,66
1714918421.527,-25.879,-24.902,-39.062,5.371,88
1714918421.531,-47.363,-29.785,-31.738,-8.301,4
1714918421.535,-46.875,-44.922,-35.645,-0.488,97
1714918421.539,-38.086,-59.082,-49.316,-5.859,-89
1714918421.543,-27.832,-50.293,-46.387,-9.766,49
1714918421.546,34.18,15.137,20.508,44.922,-7
1714918421.55,3.418,-18.555,-0.977,23.926,-93
1714918421.554,-43.457,-68.848,-55.176,-6.348,13
1714918421.558,-17.578,-61.523,-47.852,1.953,36
1714918421.562,-9.277,-59.082,-44.922,-2.93,44
1714918421.565,-15.137,-51.27,-41.016,28.32,-29
1714918421.569,-21.973,-55.176,-43.945,18.066,-30
1714918421.573,-47.363,-65.918,-49.316,-18.066,-50
1714918421.577,-33.691,-67.383,-43.457,-5.371,41
1714918421.581,2.93,-53.711,-35.156,8.301,25
1714918421.585,-36.621,-52.246,-45.898,2.441,-29
1714918421.589,-9.277,-17.578,-18.066,44.922,-83
1714918421.592,53.711,14.648,23.926,77.637,-97
1714918421.596,-10.742,-40.039,-27.344,23.926,-37
1714918421.6,-26.855,-49.805,-52.246,-7.324,-16
1714918421.604,-14.648,-32.227,-39.551,0.0,-38
1714918421.608,-26.855,-36.133,-52.246,12.207,-64
1714918421.61,-25.879,-50.293,-52.734,-5.371,-29
1714918421.614,-30.273,-40.527,-41.504,-11.23,-88
1714918421.618,-31.738,-29.785,-32.715,0.488,-63
1714918421.622,-49.805,-40.527,-37.109,-23.926,-10
1714918421.626,-32.227,-41.504,-46.387,-21.973,21
1714918421.63,-1.953,-26.855,-34.18,-0.977,-81
1714918421.634,5.859,16.113,13.672,15.625,69
1714918421.637,-30.273,-13.184,-8.789,-10.742,22
1714918421.641,-32.715,-49.316,-52.734,-22.949,-13
1714918421.645,-47.363,-44.434,-50.293,-31.25,2
1714918421.649,-50.781,-47.852,-39.551,-13.184,-67
1714918421.653,-32.227,-46.875,-41.504,3.418,-24
1714918421.654,-23.926,-49.805,-45.41,-11.23,89
1714918421.658,-9.766,-41.016,-38.086,8.301,-84
1714918421.662,-18.555,-39.062,-41.992,-1.953,-15
1714918421.666,-20.996,-55.176,-42.48,-12.695,83
1714918421.67,-25.391,-51.758,-55.176,-19.043,22
1714918421.674,0.488,-11.719,-36.133,-9.277,-58
1714918421.678,24.414,3.418,1.953,19.531,19
1714918421.681,-16.113,-36.133,-30.273,1.465,25
1714918421.685,-24.414,-50.293,-44.434,-3.418,18
1714918421.689,1.465,-28.32,-24.902,3.906,45
1714918421.693,15.625,-17.09,-22.949,3.418,19
1714918421.697,-9.766,-31.25,-30.273,-4.395,54
1714918421.714,-2.441,-30.273,-26.855,12.695,78
1714918421.718,23.438,-30.762,-27.344,26.367,40
1714918421.722,0.0,-39.551,-34.18,9.277,-66
1714918421.726,-7.324,-48.828,-41.504,14.16,-62
1714918421.73,17.578,-32.715,-34.18,29.297,-51
1714918421.734,22.461,-1.953,-14.648,29.785,4
1714918421.738,32.227,-18.555,-22.461,31.738,97
1714918421.741,-0.977,-51.27,-43.457,7.812,11
1714918421.745,3.418,-44.922,-35.156,-1.465,-30
1714918421.749,56.152,2.441,-1.465,40.039,-11
1714918421.753,24.414,-9.766,-18.066,41.016,-5
1714918421.757,6.836,-34.18,-38.574,5.859,24
1714918421.775,13.184,-39.062,-40.527,-12.207,50
1714918421.779,2.441,-43.457,-35.645,3.418,-73
1714918421.783,8.789,-41.016,-32.715,4.883,58
1714918421.787,7.324,-33.691,-31.738,4.395,-66
1714918421.791,3.906,-25.391,-32.715,3.418,19
1714918421.795,-0.977,-27.344,-46.387,-1.953,-34
1714918421.799,-0.488,-27.344,-43.945,-0.488,99
1714918421.802,-17.578,-45.898,-53.223,-32.715,24
1714918421.806,55.664,4.883,6.836,40.527,52
1714918421.81,87.891,59.082,61.523,116.211,-97
1714918421.814,-18.066,-21.484,-34.18,14.16,-31
1714918421.818,-31.25,-40.039,-64.941,-40.039,-41
1714918421.804,-17.578,-30.762,-43.457,-37.598,-80
1714918421.808,-43.457,-44.922,-38.574,-15.625,41
1714918421.812,-70.801,-43.457,-42.969,-10.742,62
1714918421.816,-58.594,-41.992,-42.48,-39.551,-39
1714918421.82,-46.387,-48.828,-40.039,-45.898,27
1714918421.824,-59.57,-59.082,-44.922,-36.133,-11
1714918421.828,-53.711,-46.875,-45.898,-33.203,24
1714918421.831,-44.434,-45.898,-41.504,-28.32,-57
1714918421.835,-62.5,-69.824,-42.969,-41.504,42
1714918421.839,-45.898,-56.641,-29.297,-18.555,81
1714918421.843,-57.129,-65.918,-49.316,-40.039,-43
1714918421.847,-38.574,-43.457,-32.715,-36.133,-32
1714918421.849,58.105,69.824,77.637,82.031,-36
1714918421.853,-30.762,-5.859,12.207,1.465,-2
